Rua,Bairro,Path_Coordinates
Rua do Catete,Catete,"[[-43.177547, -22.932472], [-43.177559, -22.932286], [-43.177591, -22.931846], [-43.177595, -22.931801], [-43.177614, -22.931545], [-43.177619, -22.931481], [-43.177648, -22.931183], [-43.177654, -22.930963], [-43.177659, -22.93085], [-43.177662, -22.930777], [-43.177658, -22.930652], [-43.177662, -22.930572], [-43.17765, -22.930322], [-43.177593, -22.929914], [-43.17754, -22.929772], [-43.177275, -22.929052], [-43.177241, -22.928938], [-43.17722, -22.928869], [-43.177082, -22.92838], [-43.177051, -22.928288], [-43.177029, -22.928215], [-43.176952, -22.928006], [-43.176942, -22.927981], [-43.176867, -22.927752], [-43.176848, -22.927705], [-43.176841, -22.927684], [-43.176794, -22.927569], [-43.176726, -22.927398], [-43.176697, -22.927328], [-43.176615, -22.927021], [-43.176581, -22.926775], [-43.176572, -22.926567], [-43.176563, -22.92636], [-43.17658, -22.926171], [-43.176581, -22.926143], [-43.176586, -22.926029], [-43.176586, -22.925927], [-43.176586, -22.925856], [-43.176591, -22.92573], [-43.176594, -22.925625], [-43.176604, -22.925315], [-43.176642, -22.925155], [-43.176646, -22.925146], [-43.176681, -22.925043], [-43.176751, -22.924871], [-43.176804, -22.924733], [-43.176818, -22.924685], [-43.176869, -22.924536], [-43.17692, -22.924319], [-43.176956, -22.924166], [-43.177023, -22.92378]]"
Rua Voluntários da Pátria,Botafogo,"[[-43.198316, -22.956473], [-43.198151, -22.956327], [-43.198012, -22.95624], [-43.19794, -22.956207], [-43.197372, -22.956006], [-43.197324, -22.955989], [-43.197227, -22.955956], [-43.19695, -22.955856], [-43.196759, -22.955787], [-43.196705, -22.955769], [-43.196606, -22.955734], [-43.196389, -22.955658], [-43.196228, -22.955601], [-43.195785, -22.955446], [-43.19567, -22.955406], [-43.195402, -22.95531], [-43.195354, -22.955295], [-43.195259, -22.955263], [-43.195033, -22.955183], [-43.194997, -22.955169], [-43.194627, -22.955038], [-43.194344, -22.954939], [-43.194047, -22.954834], [-43.193315, -22.954575], [-43.193032, -22.954475], [-43.192981, -22.954457], [-43.192888, -22.954423], [-43.192791, -22.954393], [-43.192738, -22.954375], [-43.192269, -22.954207], [-43.192119, -22.954154], [-43.191618, -22.953975], [-43.191445, -22.953913], [-43.191262, -22.953851], [-43.191087, -22.953791], [-43.191041, -22.953777], [-43.190936, -22.953741], [-43.190672, -22.953647], [-43.190255, -22.953501], [-43.189964, -22.953399], [-43.18992, -22.953384], [-43.189808, -22.953345], [-43.188718, -22.952964], [-43.188611, -22.952931], [-43.188186, -22.952781], [-43.187733, -22.952622], [-43.187528, -22.952556], [-43.187477, -22.952539], [-43.187445, -22.952527], [-43.187375, -22.9525], [-43.187143, -22.952413], [-43.187057, -22.952382], [-43.186693, -22.952254], [-43.186599, -22.95222], [-43.186425, -22.952156], [-43.186132, -22.952049], [-43.185916, -22.951969], [-43.185845, -22.951943], [-43.185765, -22.951913], [-43.185721, -22.951897], [-43.185596, -22.951851], [-43.185536, -22.951829], [-43.18547, -22.951805], [-43.185456, -22.9518], [-43.185272, -22.951732], [-43.184802, -22.951559], [-43.184645, -22.951502], [-43.184541, -22.951463], [-43.184467, -22.951436], [-43.184421, -22.951421], [-43.184371, -22.951399], [-43.184271, -22.951363], [-43.184136, -22.951316], [-43.184106, -22.951302], [-43.183948, -22.951245], [-43.183771, -22.951186], [-43.183331, -22.95104], [-43.182929, -22.950909], [-43.182779, -22.950863], [-43.182582, -22.950803], [-43.182552, -22.950794], [-43.182262, -22.950689], [-43.181857, -22.950542], [-43.181802, -22.950524], [-43.181755, -22.950505], [-43.181669, -22.95047]]"
Rua das Laranjeiras,Laranjeiras,"[[-43.193036, -22.938576], [-43.192867, -22.938558], [-43.192662, -22.938537], [-43.192489, -22.938515], [-43.19224, -22.938489], [-43.191704, -22.938432], [-43.191566, -22.938415], [-43.191317, -22.938392], [-43.191171, -22.938372], [-43.191135, -22.938365], [-43.19104, -22.938334], [-43.190922, -22.938285], [-43.190863, -22.938254], [-43.190723, -22.938176], [-43.190635, -22.938096], [-43.190536, -22.93798], [-43.190485, -22.937912], [-43.19044, -22.937846], [-43.190416, -22.937681], [-43.190375, -22.937499], [-43.190343, -22.937361], [-43.190231, -22.936872], [-43.190219, -22.936818], [-43.190174, -22.936606], [-43.190123, -22.936484], [-43.190086, -22.936427], [-43.190072, -22.936399], [-43.190018, -22.936312], [-43.19, -22.936278], [-43.189927, -22.936183], [-43.189567, -22.935763], [-43.189404, -22.935596], [-43.189357, -22.935561], [-43.189014, -22.935361], [-43.188964, -22.93533], [-43.188932, -22.935312], [-43.188828, -22.935257], [-43.188709, -22.935193], [-43.188667, -22.935173], [-43.188606, -22.935141], [-43.188577, -22.935126], [-43.188443, -22.935057], [-43.188424, -22.93505], [-43.188366, -22.935019], [-43.188334, -22.935002], [-43.188055, -22.934837], [-43.187849, -22.934716], [-43.187625, -22.93457], [-43.18761, -22.934561], [-43.18751, -22.934494], [-43.187431, -22.934443]]"
Rua Visconde de Pirajá,Ipanema,"[[-43.213463, -22.983792], [-43.21326, -22.983801], [-43.211469, -22.983882], [-43.211327, -22.983889], [-43.21118, -22.983896], [-43.210421, -22.983932], [-43.209356, -22.984003], [-43.209218, -22.984011], [-43.209078, -22.98402], [-43.207232, -22.984119], [-43.207085, -22.984127], [-43.206956, -22.984123], [-43.206014, -22.98419], [-43.205105, -22.984228], [-43.20497, -22.984236], [-43.204822, -22.984245], [-43.204048, -22.984294], [-43.20302, -22.984341], [-43.202965, -22.984344], [-43.202855, -22.98435], [-43.202722, -22.98436], [-43.201281, -22.984432], [-43.200919, -22.98445], [-43.200733, -22.984452], [-43.20065, -22.984457], [-43.200609, -22.984459], [-43.200375, -22.984474], [-43.199728, -22.984516], [-43.19884, -22.984578], [-43.19879, -22.984581], [-43.19862, -22.984588], [-43.198513, -22.984594], [-43.198446, -22.984596], [-43.197779, -22.984631], [-43.197257, -22.984658], [-43.19711, -22.984665], [-43.197055, -22.984669], [-43.196868, -22.984677], [-43.196755, -22.984681], [-43.195407, -22.984756], [-43.195328, -22.984758], [-43.19527, -22.984751], [-43.195231, -22.984743]]"
Rua Barata Ribeiro,Copacabana,"[[-43.175851, -22.962165], [-43.175884, -22.962213], [-43.175911, -22.962238], [-43.17596, -22.96227], [-43.176052, -22.962325], [-43.176624, -22.962679], [-43.176776, -22.962768], [-43.177259, -22.963101], [-43.177712, -22.963382], [-43.177819, -22.96345], [-43.177887, -22.963496], [-43.177913, -22.963516], [-43.178251, -22.963741], [-43.178677, -22.964024], [-43.178747, -22.96407], [-43.179595, -22.964623], [-43.179655, -22.964663], [-43.179825, -22.964783], [-43.18, -22.964891], [-43.180212, -22.965027], [-43.180772, -22.965386], [-43.180849, -22.965436], [-43.181146, -22.965638], [-43.181612, -22.965954], [-43.181674, -22.965996], [-43.182528, -22.966552], [-43.182628, -22.966618], [-43.183479, -22.967173], [-43.183575, -22.967235], [-43.18429, -22.967702], [-43.184379, -22.967759], [-43.184825, -22.968051], [-43.185164, -22.968272], [-43.185244, -22.968324], [-43.185361, -22.968396], [-43.186029, -22.968817], [-43.186678, -22.969226], [-43.186791, -22.969295], [-43.186838, -22.969326], [-43.186923, -22.969382], [-43.187331, -22.969652], [-43.187521, -22.969775], [-43.188231, -22.970255], [-43.188287, -22.970298], [-43.188617, -22.970634], [-43.189211, -22.971239], [-43.189272, -22.971302], [-43.189946, -22.971995], [-43.190029, -22.97208], [-43.19067, -22.972757], [-43.190759, -22.972848], [-43.190822, -22.972914], [-43.190902, -22.973046], [-43.191051, -22.973344], [-43.19117, -22.973583], [-43.191515, -22.974243], [-43.191542, -22.974295], [-43.192244, -22.975631], [-43.192282, -22.975704], [-43.192467, -22.976332], [-43.192497, -22.976436], [-43.192741, -22.977345], [-43.192773, -22.977453], [-43.192834, -22.977677], [-43.192862, -22.977777], [-43.192905, -22.977933]]"
Avenida Nossa Senhora de Copacabana,Copacabana,"[[-43.189798, -22.986673], [-43.189802, -22.986627], [-43.189836, -22.98651], [-43.189961, -22.986086], [-43.190037, -22.985835], [-43.190081, -22.985685], [-43.19012, -22.985556], [-43.190261, -22.985084], [-43.190293, -22.984981], [-43.190343, -22.984812], [-43.190383, -22.984679], [-43.190557, -22.984101], [-43.190602, -22.983951], [-43.190657, -22.983782], [-43.190853, -22.983117], [-43.190896, -22.982971], [-43.190938, -22.982831], [-43.190976, -22.982674], [-43.191054, -22.982276], [-43.191105, -22.981963], [-43.191132, -22.981782], [-43.191137, -22.981654], [-43.1911, -22.980984], [-43.191091, -22.980819], [-43.191083, -22.980656], [-43.191048, -22.97992], [-43.191026, -22.979674], [-43.190979, -22.979429], [-43.190944, -22.979272], [-43.190878, -22.978992], [-43.190837, -22.978839], [-43.190805, -22.978716], [-43.190642, -22.978096], [-43.190603, -22.977949], [-43.19036, -22.977075], [-43.190318, -22.976927], [-43.190284, -22.976799], [-43.19009, -22.976085], [-43.190029, -22.975883], [-43.189948, -22.97572], [-43.189575, -22.975053], [-43.189492, -22.974913], [-43.189461, -22.974863], [-43.189416, -22.974793], [-43.189005, -22.974162], [-43.188909, -22.974017], [-43.188846, -22.973925], [-43.188476, -22.973329], [-43.188427, -22.97325], [-43.187956, -22.97252], [-43.187576, -22.971939], [-43.187481, -22.971798], [-43.187418, -22.971711], [-43.187351, -22.97163], [-43.187233, -22.9715], [-43.187117, -22.971376], [-43.187024, -22.971275], [-43.186902, -22.971154], [-43.186828, -22.971081], [-43.186445, -22.970703], [-43.186116, -22.970392], [-43.186029, -22.970295], [-43.185985, -22.970249], [-43.18589, -22.970173], [-43.184768, -22.969255], [-43.184711, -22.969208], [-43.184619, -22.969133], [-43.184485, -22.969047], [-43.184006, -22.96874], [-43.183851, -22.96864], [-43.183772, -22.968586], [-43.183641, -22.968505], [-43.183061, -22.968133], [-43.182908, -22.968034], [-43.182766, -22.967944], [-43.182102, -22.967517], [-43.181959, -22.967425], [-43.181818, -22.967334], [-43.181672, -22.967241], [-43.181568, -22.967203], [-43.181456, -22.967183], [-43.180576, -22.967157], [-43.180443, -22.967133], [-43.18032, -22.967088], [-43.178958, -22.966339], [-43.178809, -22.966257], [-43.17868, -22.966186], [-43.177961, -22.96579], [-43.177797, -22.965699], [-43.177691, -22.965643], [-43.176988, -22.965235], [-43.176947, -22.965213], [-43.176821, -22.965152], [-43.176736, -22.965111], [-43.176694, -22.965091], [-43.17595, -22.964759], [-43.175913, -22.964744], [-43.175784, -22.964691], [-43.175687, -22.964646], [-43.175659, -22.964633], [-43.174956, -22.964321], [-43.174906, -22.964301], [-43.174823, -22.964266], [-43.174389, -22.964081], [-43.174324, -22.964054], [-43.17422, -22.964009], [-43.174087, -22.963956], [-43.173909, -22.963872], [-43.173744, -22.963801], [-43.173221, -22.963583], [-43.173139, -22.963547], [-43.173043, -22.963507]]"
Praia de Botafogo,Botafogo,"[[-43.182113, -22.948528], [-43.182172, -22.948338], [-43.182233, -22.948086], [-43.182293, -22.947767], [-43.182294, -22.947725], [-43.18229, -22.94755], [-43.182312, -22.94691], [-43.182301, -22.946614], [-43.18227, -22.946148], [-43.182268, -22.946094], [-43.182264, -22.946008], [-43.182248, -22.945859], [-43.182155, -22.945345], [-43.181903, -22.94468], [-43.181773, -22.944358], [-43.181536, -22.943927], [-43.181422, -22.943735], [-43.181159, -22.94334], [-43.181046, -22.943239], [-43.180843, -22.942997], [-43.180636, -22.942781], [-43.180515, -22.94265], [-43.180315, -22.942462], [-43.180043, -22.942238], [-43.179978, -22.942182], [-43.179706, -22.94201], [-43.179662, -22.941988], [-43.179547, -22.941932], [-43.179522, -22.941922], [-43.179399, -22.941873], [-43.17931, -22.941842], [-43.179126, -22.941796], [-43.178942, -22.941761], [-43.178815, -22.941735], [-43.178706, -22.94172], [-43.178529, -22.941722], [-43.178268, -22.941752], [-43.177994, -22.941804], [-43.177908, -22.941809], [-43.177808, -22.941803], [-43.177726, -22.941783], [-43.177666, -22.941761], [-43.177587, -22.941717], [-43.177525, -22.941665], [-43.177483, -22.941601], [-43.177455, -22.941529], [-43.177454, -22.941443], [-43.177506, -22.941195], [-43.177516, -22.941141], [-43.177543, -22.94097]]"
Avenida Atlântica,Copacabana,"[[-43.188811, -22.986296], [-43.188784, -22.986203], [-43.188775, -22.98613], [-43.188786, -22.98603], [-43.188883, -22.985723], [-43.188921, -22.985592], [-43.189006, -22.985341], [-43.189227, -22.984649], [-43.189265, -22.984536], [-43.189292, -22.984449], [-43.189307, -22.984392], [-43.189446, -22.983931], [-43.189527, -22.983636], [-43.189579, -22.983376], [-43.189603, -22.983233], [-43.189646, -22.982892], [-43.189661, -22.982701], [-43.189674, -22.982489], [-43.189676, -22.982306], [-43.189673, -22.982117], [-43.18967, -22.981894], [-43.189659, -22.981799], [-43.189622, -22.981422], [-43.189595, -22.981237], [-43.189531, -22.980899], [-43.189483, -22.980674], [-43.189369, -22.980185], [-43.189285, -22.979866], [-43.189143, -22.979348], [-43.188864, -22.978535], [-43.188793, -22.978332], [-43.188618, -22.977894], [-43.188558, -22.977736], [-43.188477, -22.977557], [-43.188357, -22.977288], [-43.188315, -22.97719], [-43.187943, -22.976453], [-43.187703, -22.976037], [-43.18723, -22.975229], [-43.187203, -22.975192], [-43.187108, -22.975041], [-43.186889, -22.974717], [-43.186428, -22.974076], [-43.185761, -22.973247], [-43.185663, -22.973134], [-43.18536, -22.972789], [-43.1849, -22.972301], [-43.18454, -22.971962], [-43.184493, -22.971915], [-43.184412, -22.971834], [-43.184383, -22.971807], [-43.184004, -22.971462], [-43.183599, -22.971117], [-43.18342, -22.970971], [-43.183371, -22.970936], [-43.183198, -22.97081], [-43.183034, -22.970675], [-43.182403, -22.970197], [-43.181413, -22.969524], [-43.180593, -22.968992], [-43.180502, -22.968935], [-43.180465, -22.968909], [-43.179881, -22.968551], [-43.179301, -22.968205], [-43.178704, -22.967856], [-43.178276, -22.967613], [-43.178222, -22.967584], [-43.177958, -22.967441], [-43.176519, -22.966673], [-43.175882, -22.966351], [-43.174391, -22.965659], [-43.174344, -22.965639], [-43.174043, -22.9655], [-43.173564, -22.965278], [-43.173426, -22.965228], [-43.173336, -22.965189], [-43.173237, -22.965139], [-43.173046, -22.96506], [-43.173033, -22.965055], [-43.172999, -22.965041], [-43.172235, -22.964704], [-43.17164, -22.964455], [-43.171228, -22.964282], [-43.169733, -22.963665], [-43.169452, -22.963564], [-43.168264, -22.963098], [-43.167726, -22.962895], [-43.16737, -22.962779], [-43.167209, -22.962733], [-43.166772, -22.962635], [-43.166696, -22.962617], [-43.166624, -22.962601], [-43.166491, -22.962572], [-43.166461, -22.962566], [-43.165936, -22.962493], [-43.16543, -22.962455], [-43.165381, -22.962443], [-43.165346, -22.962423], [-43.165324, -22.962394], [-43.165312, -22.962339], [-43.165323, -22.962225], [-43.165523, -22.962237], [-43.165973, -22.962271], [-43.166407, -22.962333], [-43.166484, -22.962343], [-43.166741, -22.962382], [-43.166935, -22.962419], [-43.167361, -22.962534], [-43.167613, -22.962608], [-43.168123, -22.962795], [-43.169564, -22.963362], [-43.169782, -22.963444], [-43.170819, -22.963874], [-43.171086, -22.963986], [-43.171426, -22.964129], [-43.171675, -22.964236], [-43.171767, -22.964275], [-43.171889, -22.964328], [-43.172275, -22.964486], [-43.172545, -22.964604]]"
Rua Marquês de Abrantes,Botafogo,"[[-43.17759, -22.932904], [-43.177535, -22.932993], [-43.177459, -22.933104], [-43.177411, -22.933204], [-43.17738, -22.933269], [-43.177372, -22.933307], [-43.177363, -22.933353], [-43.17734, -22.933575], [-43.1773, -22.933936], [-43.177261, -22.934276], [-43.177248, -22.934403], [-43.177235, -22.934503], [-43.177208, -22.934964], [-43.1772, -22.935093], [-43.177191, -22.93526], [-43.177186, -22.935307], [-43.177182, -22.935472], [-43.177184, -22.935582], [-43.177196, -22.935753], [-43.177266, -22.936126], [-43.177436, -22.936751], [-43.177443, -22.936778], [-43.177594, -22.937394], [-43.177605, -22.937434], [-43.177765, -22.937913], [-43.177909, -22.938428], [-43.177985, -22.938655], [-43.178174, -22.939222], [-43.178459, -22.940171], [-43.178684, -22.940891], [-43.178699, -22.940932], [-43.178763, -22.941124]]"
Rua Marquês de Abrantes,Flamengo,"[[-43.17759, -22.932904], [-43.177535, -22.932993], [-43.177459, -22.933104], [-43.177411, -22.933204], [-43.17738, -22.933269], [-43.177372, -22.933307], [-43.177363, -22.933353], [-43.17734, -22.933575], [-43.1773, -22.933936], [-43.177261, -22.934276], [-43.177248, -22.934403], [-43.177235, -22.934503], [-43.177208, -22.934964], [-43.1772, -22.935093], [-43.177191, -22.93526], [-43.177186, -22.935307], [-43.177182, -22.935472], [-43.177184, -22.935582], [-43.177196, -22.935753], [-43.177266, -22.936126], [-43.177436, -22.936751], [-43.177443, -22.936778], [-43.177594, -22.937394], [-43.177605, -22.937434], [-43.177765, -22.937913], [-43.177909, -22.938428], [-43.177985, -22.938655], [-43.178174, -22.939222], [-43.178459, -22.940171], [-43.178684, -22.940891], [-43.178699, -22.940932], [-43.178763, -22.941124]]"
