Rua,Bairro,Path_Coordinates
Rua do Catete,Catete,"[[-43.17559571416154, -22.926252759286914], [-43.17539839719314, -22.92578877140329], [-43.17608640815247, -22.926476734122406], [-43.17535405586092, -22.92736056689807], [-43.17493791070533, -22.927158336874584]]"
Rua Voluntários da Pátria,Botafogo,"[[-43.18702596533593, -22.949905344155194], [-43.18765915631622, -22.95054169422078], [-43.18760964345296, -22.950933209734863], [-43.188027185172565, -22.95106931969758], [-43.18874819745126, -22.950845613908136]]"
Rua das Laranjeiras,Laranjeiras,"[[-43.18608894423164, -22.936363580094696], [-43.186060475354815, -22.93696423253038], [-43.186967574529376, -22.936779403392656], [-43.187626526282, -22.93656431368885], [-43.1867287552075, -22.937434210502882]]"
Rua Visconde de Pirajá,Ipanema,"[[-43.20641396731596, -22.98457231738496], [-43.20653366232848, -22.984203851331934], [-43.20654330850826, -22.984959774862244], [-43.205724667704104, -22.985890997820015], [-43.2053996231354, -22.986373437856816]]"
Rua Barata Ribeiro,Copacabana,"[[-43.18459087326684, -22.96721973832394], [-43.18404060762012, -22.966280569068413], [-43.183250952919266, -22.965401571185286], [-43.18240720444922, -22.965205771227662], [-43.18301523872438, -22.966028786223557]]"
Avenida Nossa Senhora de Copacabana,Copacabana,"[[-43.184071905809354, -22.968167936261864], [-43.18435839915597, -22.96751046124356], [-43.18427300698965, -22.967948592224186], [-43.18366861302814, -22.968666743774236], [-43.18269483915494, -22.969517642486878]]"
Praia de Botafogo,Botafogo,"[[-43.18340723142927, -22.954866867297255], [-43.18294921709319, -22.95445315260956], [-43.18380112778972, -22.95391061191619], [-43.18456938967067, -22.954193680459102], [-43.18432279341702, -22.95346747360735]]"
Avenida Atlântica,Copacabana,"[[-43.18374890006783, -22.968634106069707], [-43.18347378512512, -22.96817489371303], [-43.1835293552748, -22.96740046822788], [-43.183102865700356, -22.968161279736], [-43.182980311305215, -22.967639709638767]]"
Rua Marquês de Abrantes,Botafogo,"[[-43.18573475388985, -22.951763603023707], [-43.18651897103586, -22.95271276477022], [-43.18624615021333, -22.953649906398844], [-43.186229008831, -22.95402119443669], [-43.186730424372705, -22.95320606148884]]"
Rua Marquês de Abrantes,Flamengo,"[[-43.17893812054103, -22.93832721100705], [-43.17961567796652, -22.93874770810122], [-43.17899943720739, -22.937888312796538], [-43.17825651602701, -22.937621505283516], [-43.17888337590924, -22.937014161129717]]"
Rua Humaitá,Humaitá,"[[-43.19262345220046, -22.954155359069016], [-43.1934033483514, -22.95451935211907], [-43.19354913277415, -22.95506348179399], [-43.19282767160764, -22.954427452262145], [-43.19280617700248, -22.955413548001083]]"
Rua Senador Vergueiro,Flamengo,"[[-43.17737430897158, -22.938980807795996], [-43.17772790310754, -22.938094988388173], [-43.17732186518975, -22.938057407144687], [-43.17637830102431, -22.93833014793993], [-43.17687473643266, -22.937405253350047]]"
Largo do Machado,Catete,"[[-43.18107867831587, -22.926790957033734], [-43.18107332026941, -22.926571828365773], [-43.18151602734094, -22.927468870863272], [-43.182036903559606, -22.92665233909134], [-43.18205799803905, -22.92736254934716]]"
Avenida Prado Júnior,Copacabana,"[[-43.181130282308025, -22.966467186715565], [-43.1806738496108, -22.96699191162758], [-43.18040923794961, -22.96725634536214], [-43.18033768858146, -22.96698928594062], [-43.17966708359028, -22.96780870640051]]"
Rua Siqueira Campos,Copacabana,"[[-43.18215464234087, -22.970255349150673], [-43.18312146668301, -22.96990022042699], [-43.18366847513261, -22.969876034310392], [-43.1843197422746, -22.969585688729573], [-43.184546271582, -22.96920381325337]]"
Calçada Compartilhada Rua das Laranjeiras,Laranjeiras,"[[-43.19011915887256, -22.937053601893698], [-43.1893644801658, -22.936204214657142], [-43.18904451207373, -22.93668833140171], [-43.18893411045053, -22.93605388700131], [-43.18945040586873, -22.9359945858446]]"
Avenida Ataulfo de Paiva,Leblon,"[[-43.22090139125636, -22.983397491657023], [-43.221202972107136, -22.983719432074924], [-43.22040875158723, -22.983267520717185], [-43.219849000495515, -22.982493347868655], [-43.220680720565525, -22.982209284576346]]"
Rua Pacheco Leão,Jardim Botânico,"[[-43.2229448176903, -22.964361425642043], [-43.22261781415208, -22.965158482556312], [-43.22329619804925, -22.96614835938862], [-43.222912407653865, -22.966050891809886], [-43.223463869034944, -22.96574696929088]]"
Rua Jardim Botânico,Jardim Botânico,"[[-43.21852105156929, -22.966047601811045], [-43.2178226047483, -22.96574833601295], [-43.21768598754163, -22.96543311022835], [-43.21795055593551, -22.966245760692694], [-43.218462576648754, -22.96671535595733]]"
Calçadão de Copacabana,Copacabana,"[[-43.181913168244016, -22.965147720668938], [-43.18190789405781, -22.964558098061854], [-43.18192285867017, -22.964404290292602], [-43.18147795443965, -22.965013804317007], [-43.182429322506785, -22.965452259592126]]"
Rua Teixeira de Melo,Ipanema,"[[-43.20127642853799, -22.980757248493884], [-43.20153611113748, -22.979927519713442], [-43.200679474012304, -22.980896606480385], [-43.19974616437422, -22.981040238183752], [-43.199040145463286, -22.980112998229572]]"
Ciclofaixa Rua das Laranjeiras,Laranjeiras,"[[-43.18889846796907, -22.933993179970898], [-43.18878486544415, -22.934654194477524], [-43.188392805850796, -22.933781884929203], [-43.18919845286325, -22.933641762589026], [-43.188218345163044, -22.93341174813563]]"
Orla Copacabana,Copacabana,"[[-43.18125538829347, -22.965235761568433], [-43.180850420125495, -22.96484173008644], [-43.18126323643697, -22.965122747784], [-43.18064300964761, -22.964504025473044], [-43.179816528542496, -22.963769880835883]]"
Rua São Clemente,Botafogo,"[[-43.184400216415334, -22.9501102289262], [-43.18380863107646, -22.949706295171683], [-43.184132640762755, -22.94892628448805], [-43.18494467688307, -22.94917511858277], [-43.18587279233547, -22.949018558300775]]"
Avenida Vieira Souto,Ipanema,"[[-43.203455000436584, -22.98468075248723], [-43.204380304059086, -22.98561975198735], [-43.204659922776266, -22.98497455086603], [-43.204615436256155, -22.98572042984073], [-43.20518379420116, -22.98518044273453]]"
Rua Prudente de Morais,Ipanema,"[[-43.20381187221059, -22.986089909672987], [-43.203537012407594, -22.986008639429766], [-43.20258530824867, -22.98555645676232], [-43.20293939530279, -22.98552385606572], [-43.20339773080027, -22.98493348367618]]"
Rua Dois de Dezembro,Catete,"[[-43.17552410951193, -22.928347895539506], [-43.17513216109975, -22.92767593529848], [-43.1757855724596, -22.927858029409652], [-43.17628508666327, -22.92854515532431], [-43.17585589481787, -22.9284467019949]]"
Rua Senador Vergueiro,Botafogo,"[[-43.18387261849983, -22.94917080831602], [-43.18364917700736, -22.949062100210995], [-43.18415371502836, -22.949222900086138], [-43.18363802280743, -22.949510954728837], [-43.184405877526416, -22.950482167751577]]"
Rua General Glicério,Laranjeiras,"[[-43.18657805284372, -22.933967236495935], [-43.18738238452242, -22.93401888883776], [-43.18743544098086, -22.934035657087524], [-43.187567737682386, -22.934689253347702], [-43.18733603748628, -22.934892243878906]]"
Rua Sorocaba,Botafogo,"[[-43.184544840505716, -22.95265232431224], [-43.18383186082334, -22.952646051795078], [-43.184505991969175, -22.95232866453184], [-43.184221153412764, -22.95318752703704], [-43.18404960225022, -22.954134504415958]]"
Rua Professor Álvaro Rodrigues,Botafogo,"[[-43.18444027068934, -22.952570980442758], [-43.184349037110714, -22.952654474661774], [-43.18457683183511, -22.95177154504422], [-43.1837661305512, -22.950849163916573], [-43.18462740794945, -22.951457581646995]]"
