Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Catete,Rua do Catete,209,99,6900,0.0222,89,80,1800,110,171600,94
Botafogo,Rua Voluntários da Pátria,203,98,9800,0.0162,71,80,3350,210,322850,68
Laranjeiras,Rua das Laranjeiras,198,98,8500,0.0066,82,82,2200,150,220000,86
Ipanema,Rua Visconde de Pirajá,154,93,14800,0.0924,94,78,5650,360,548350,30
Copacabana,Avenida Nossa Senhora de Copacabana,153,96,8200,0.0006,90,82,3350,200,316250,69
Copacabana,Rua Barata Ribeiro,152,90,8200,0.0912,99,71,3250,200,310750,70
Copacabana,Avenida Atlântica,119,87,8200,0.0222,51,67,3200,200,308000,71
Botafogo,Praia de Botafogo,110,93,9800,0.066,98,75,3300,200,313500,70
Flamengo,Rua Marquês de Abrantes,89,86,9200,0.0534,97,72,2050,140,205150,88
Botafogo,Rua Marquês de Abrantes,89,86,9800,0.0534,97,72,3200,200,308000,71
Humaitá,Rua Humaitá,79,89,9100,0.0474,72,68,3250,200,310750,70
Flamengo,Rua Senador Vergueiro,72,80,9200,0.0294,96,71,2000,140,202400,88
Copacabana,Avenida Prado Júnior,69,81,8200,0.0414,99,69,3150,200,305250,71
Catete,Largo do Machado,69,96,6900,0.0414,84,72,4150,250,393250,56
Glória,Rua do Catete,66,91,6500,0.0222,89,72,1750,110,168850,94
Leblon,Avenida Ataulfo de Paiva,65,88,16500,0.039,90,79,5550,360,542850,31
Copacabana,Rua Siqueira Campos,65,96,8200,0.039,99,76,3350,200,316250,69
Jardim Botânico,Rua Pacheco Leão,58,88,12500,0.0348,46,66,3250,200,310750,70
Jardim Botânico,Rua Jardim Botânico,56,82,12500,0.0036,45,67,3150,200,305250,71
Laranjeiras,Ciclofaixa Rua das Laranjeiras,54,87,8500,0.0324,76,68,2050,140,205150,88
Ipanema,Rua Teixeira de Melo,54,79,14800,0.0324,91,74,5400,350,528000,33
